36-92,35-78
26-31,25-27
17-72,16-71
3-77,76-90
20-22,21-87
5-75,6-75
42-44,43-95
51-73,50-52
81-89,80-81
7-58,47-58
72-91,20-92
27-64,51-64
5-94,94-95
88-93,88-89
7-45,46-91
30-40,29-29
81-90,80-90
4-71,4-71
68-83,65-84
1-4,3-79
94-95,35-82
30-84,31-97
6-82,81-86
88-88,4-89
41-97,40-89
95-99,34-94
18-56,18-56
53-64,22-53
5-9,9-71
18-41,40-66
38-39,38-78
23-99,22-94
34-54,34-53
33-76,85-94
72-91,63-79
33-94,93-94
56-82,20-56
60-85,60-86
31-76,31-33
29-79,78-80
9-9,66-69
6-97,6-75
40-78,39-77
14-30,14-15
91-94,88-98
1-23,10-23
9-84,7-9
75-76,75-98
45-87,45-46
11-11,11-11
16-64,64-65
60-60,20-61
48-81,93-94
5-48,32-47
37-75,74-75
13-76,13-13
15-93,92-96
41-86,86-96
48-92,64-91
1-9,2-97
43-56,55-55
7-99,98-99
98-99,1-99
15-97,7-99
76-76,32-77
71-76,76-77
13-28,13-29
38-69,42-50
49-49,50-77
68-84,71-83
26-51,32-51
12-40,39-63
21-92,9-88
7-65,65-69
56-76,56-77
40-62,62-62
35-96,92-95
37-99,12-86
94-98,4-81
32-38,34-39
11-94,24-93
1-97,1-60
7-77,7-59
62-81,80-96
38-83,82-82
44-44,43-98
22-23,22-62
28-97,16-97
53-88,67-88
2-2,56-97
41-72,71-72
78-80,47-79
1-1,2-41
23-99,33-98
33-98,61-97
80-95,80-80
8-90,8-91
4-90,50-89
94-94,3-95
3-83,2-99
45-52,12-44
22-65,66-71
9-72,72-73
2-62,2-82
40-61,30-60
57-87,25-56
76-78,77-77
16-88,87-88
14-77,73-77
37-90,36-38
10-75,11-11
37-99,3-97
47-48,45-47
6-92,7-91
60-74,60-61
20-29,8-21
95-96,47-95
63-70,31-63
6-97,6-76
19-91,19-92
50-92,49-50
17-96,18-97
3-4,3-93
13-51,1-13
34-87,23-33
2-99,98-98
4-6,7-76
46-60,36-45
50-80,25-51
60-61,24-61
97-98,3-98
33-34,83-99
30-76,22-77
27-72,72-94
47-96,31-47
26-90,11-27
47-87,3-72
86-91,9-87
32-79,78-79
72-95,94-94
88-96,8-89
11-84,12-98
5-8,8-29
6-38,86-86
14-33,5-33
20-95,39-94
6-99,12-93
52-91,52-90
3-99,2-72
72-96,56-90
7-84,7-8
20-37,14-37
26-74,74-75
40-54,4-71
42-42,93-94
53-69,23-52
20-96,95-96
1-18,18-83
